ID	Target	SENTENCE1	SENTENCE2	ANSWER	start_s1	end_s1	start_s2	end_s2
27	의안	요즘은 기술이 발달해서 인간의 눈과 똑같은 의안이 많이 개발되었다.	그는 사고로 인해 의안을 끼우고 다니는 신세가 되었다.	True	24	26	10	12
28	화랑	<찬기파랑가>에 담긴 숭고와 비장의 이중주는 화랑의 쇠퇴를 저변에 깔고 있다.	김 화백의 개인전이 열린 화랑에는 조촐한 다과가 마련되어 손님들을 맞고 있었다.	False	25	27	14	16
29	가락	해 도사는 말해 놓고 우물우물 김치 가락을 씹는다.	국수 가락이 유난히 희었는데 쌀가루로 만든 것이라고 했다.	True	20	22	3	5
30	교사	나는 얼굴이 약간 달아올랐으나 곧 이 학교에 발령을 받고 부임하러 온 교사라고 말해 주었다.	지난달 우리 학교의 신축 교사가 완공되었다.	False	39	41	14	16
31	돌	아기 돌잔치에 거저 갈 수야 없는 일이지.	돌잔치를 가족 모임으로 알뜰하게 치렀다.	True	3	4	0	1
32	도민	도민들이 힘을 합쳐 육지를 섬과 맞잇는 공사를 이루어 냈다.	할머니께서는 나를 평안남도 도민 체육대회에 데리고 가셨다.	False	0	2	15	17
33	사제	사제가 된다면 자네는 가톨릭의 교리를 근수해야 하네.	사제가 성체(聖體)를 거양하면 신자들은 고개를 숙인다.	True	0	2	0	2
34	수수	무명옷을 입고 발엔 감발을 치고 소금과 수수죽을 먹으면서도 그들은 세계에서 제일 호사스러운 사람들이야.	콩이며 수수, 메밀 등 발바심할 것은 발바심을 하고 도리깨질할 것은 도리깨질을 하여 밭곡식 마당질을 끝내고….	True	22	24	4	6
35	김	김은 약한 불에 구워야 맛있다.	맡은 김에 어서 일해야지요.	False	0	1	3	4
36	장인	재치 있는 고려 장인의 솜씨로 된 금비녀 열 개가 느런히 꽂혔다.	장인이 죽자 그는 처갓집의 재산을 마음대로 주무르기 시작했다.	False	9	11	0	2
37	음성	시를 읊는 낭랑한 음성이 좋다.	그는 코로나 검사에서 음성이 나왔다.	False	10	12	12	14
38	전력	선수들은 전력을 다해서 싸웠다.	이 발전소의 전력은 전국으로 급전된다.	False	5	7	7	9
39	단정	나름대로 느껴지는 분위기와 너무 큰 차이가 나는 단정 보도에 다들 경악했다.	그는 석방이라는 사나이의 말이 분명 일종의 사탕발림일 것이라고 단정을 했다.	True	27	29	35	37
40	도장	혹시 이 도장 나리가 월장하여 소란을 피우다가 잡힌 게 아닐까요?	친구에게 보낸 편지가 주소 불명이란 도장이 찍혀서 집으로 반송되었다.	False	5	7	20	22
41	개선	선거 풍토 개선이 점점 진행되었다.	넷째로 노사 관계 개선이 필요하다.	True	6	8	10	12
42	경로	경로 정신이 사라지고 있다.	에이즈의 감염 경로를 밝히다.	False	0	2	8	10
43	약수	부소산 북쪽, 지금의 고란사 경내 돌 틈에서는 예부터 맑은 약수가 솟아오른다.	할아버지는 근처 산에서 나오는 약수를 매일 먹으니 잔병이 없어졌다고 하신다.	True	33	35	17	19
44	진지	어머님께서는 진지는 잘 잡수시더니?	그는 그의 할머니께 진지는 드셨느냐고 여쭈어보았다.	True	7	9	11	13
45	최고	그녀는 이 시대 최고의 춤꾼이다.	이 물건은 최고 가격에 흥정되었다.	True	9	11	6	8
46	절	이 절은 가장 오래된 건축물로 알려져 있다.	애국가를 2절까지만 부르자.	False	2	3	6	7
47	기구	정부는 행정 기구를 축소하고 좀더 효율적인 운영을 하겠다고 발표했다.	최근 백화점 주방 기구 코너에서 돌솥이 큰 인기를 끌고 있다.	False	7	9	10	12
48	공작	반대 세력이 도량하여 방해 공작을 폈다.	이번 사건은 아무래도 누군가의 공작으로 판단된다.	True	15	17	17	19
49	수입	그건 내가 미국에서 수입을 해온 물건이야.	코인을 시작했더니 수입이 좀 짭짤하다.	False	11	13	10	12
50	고문	그들 가운데는 고문을 당해 죽은 사람도 있었고 분사한 사람도 있었다.	일본 순사들은 독립운동가들을 온갖 악랄한 방법으로 고문을 하였다.	True	8	10	28	30
51	월남	전쟁 통에 홀몸으로 월남한 그였으니 가까운 곁이 있을 리가 없었다.	월남에서 온 그는 우리와는 식성이 조금 달랐다.	False	11	13	0	2
52	가사	요즘 남편들은 가사 분담을 당연시한다.	가사는 여자의 몫이라는 말은 구시대적이다.	True	8	10	0	2
53	정적	그는 성격이 정적이다.	정적인 분위기.	True	7	9	0	2
54	자제	양반가의 자제들은 언제나 공부하기를 게을리하면 안 되었다.	혁신파 사람들은 대부분 양가의 자제들이거나 유학을 마치고 돌아온 젊은이들이었고	True	5	7	17	19
55	정체	그 사람의 정체는 장막에 싸여 있다.	자신의 정체를 만천하에 폭로하다.	True	6	8	4	6
56	파장	그 정치인에 의해 구술된 비화가 정치권에 큰 파장을 몰고 올 예정이다.	그 채널에서 방송한 다큐멘터리는 사회적으로 큰 파장을 불러 일으켰다.	True	25	27	26	28
57	일정	바쁜 일정 때문에 분망히 움직이다.	일정이 빡빡하게 짜여 여유가 없다.	True	3	5	0	2
58	길	길이 막혀서 그만 늦었습니다.	술 취한 행인이 길에 쓰러졌다.	True	0	1	9	10
59	단정	그 어두운 열정은, 이제 밝고 떳떳한 삶으로의 편입이 불가능하다고 단정을 짓게 되자마자 갑자기 그를 거세게 몰아친 것이었다.	광복 직후 남한과 북한이 각각 단정을 수립함으로써 분단이 현실로 다가왔다.	False	37	39	17	19
60	간수	어떤 경우엔 간수 측에서보다 유치인들 측에서 더 삼엄하게 나왔다.	초당 두부는 간수에 바닷물을 사용한다.	False	7	9	7	9
61	전세	그들 부부는 교통이 좋은 곳에 전세를 들고 싶어 한다.	반격전을 나선 동학군의 전세는 곳곳에서 악전고투의 연속이었다.	False	17	19	13	15
62	소식	소식은 오히려 건강하다.	소식을 위해 밥그릇을 작은 것으로 바꿨다.	True	0	2	0	2
63	관용	우리의 전통 장승은 위엄과 관용의 이중적 모습을 띠고 있다.	우리는 화가 좀 나더라도 관용을 할 줄 아는 자세를 지녀야 한다.	True	15	17	14	16
64	초	시계가 하루에 오 초를 빨리 간다.	달리기 기록을 3초 단축시켰다.	True	10	11	9	10
65	교대	그들은 다친 친구를 교대로 업고 언덕길을 올라 공터로 들어섰다.	각 교대는 국교의 여교사 편중을 막기 위해 80년대 초부터 신입생 모집 때 남녀 비율을 조정하였다.	False	11	13	2	4
66	사립	우리 학교는 사립이라 국공립 대학보다 등록금이 비싸다.	한밤중에 누가 왔는지 개가 사립 쪽을 향해 계속 짖어 댔다.	False	7	9	15	17
67	검사	혈액이고 변이고 검사 결과는 물론 정상이었다.	검사실은 신체검사하러 온 학생들로 복잡했다.	True	9	11	0	2
68	공기	공기를 맡으니, 신선한 바람이 느껴졌다.	한 공기만 더 주세요.	False	0	2	2	4
69	공정	지역마다 공정 선거 기구를 설치하다.	투석 작업이 일단락 지어지고 난 다음 공정은 솟아오른 들둑 위로 흙을 돋워 올리는 성토 작업이었다.	False	5	7	21	23
70	기구	이 시는 기구의 기술적 표현이 유명하다.	기구에서 제시된 정서는 결구에서 반전된다.	True	5	7	0	2
71	만	아이고, 이게 얼마 만이니?	그 바닷가에는 유명한 만이 있었다.	False	11	12	12	13
72	환기	통풍과 환기를 좋게 하기 위하여 부엌에 환풍기를 설치하였다.	이 방은 천장 밑에 통풍구를 내서 환기가 되게 하였다.	True	4	6	19	21
73	교사	유능하고 실력 있는 교사를 사상이 불온하다는 이유로 학원으로부터 깡그리 구축을 한 자가 누군가.	조금만 도와주는 사람이 있으면 가정 교사가 없이도 능히 자기의 공부를 해 나갈 수 있는 아이였다.	True	11	13	20	22
74	정상	인공위성이 정상 궤도를 일탈하다.	정상 회담을 동시통역으로 진행하다.	False	6	8	0	2
75	물때	물때는 달의 모양에 달려 있다．	물탱크를 청소하기 위해서는 먼저 에탄올을 뿌려 미끌미끌한 물때를 벗겨 내야 한다.	False	0	2	32	34
76	주사	아이가 한 번 주사를 맞더니 그 뒤로는 병원이라면 질색하고 운다.	박 주사는 팔기더러 마치 분풀이라도 할 듯 버럭 고함을 처질렀다.	False	8	10	2	4
77	보석	그녀는 보석이 반짝이는 목걸이로 치장을 했다.	보석을 은행 금고에 안치했다.	True	4	6	0	2
78	사유	지각 사유를 아래에 적어라.	그건 제 사유 재산입니다.	False	3	5	5	7
79	복권	복권이 될 날만 기다렸다．	복권에 당첨되는 것이 소원이었다．	False	0	2	0	2
80	소생	병원 측에서는 환자가 소생이 될 기미가 없어 보이자 가족들에게 신병을 인도해 갈 것을 권했다.	정섭은 아버지가 돌아가신 후 큰어머니 소생의 이복형이 유산을 모두 차지하여 빈털터리가 되었다.	False	12	14	21	23
81	창	이렇게 많은 창을 띄워 놓고 일을 하면 뭐가 뭔지 헷갈리지 않니?	벽화에는 창을 들고 사냥을 하는 고대인의 모습이 그려져 있었다.	True	7	8	5	6
82	청자	그 청자는 우리 가문의 재보이다.	상감 청자는 상감법이라는 독특한 기법으로 만들어졌다.	True	2	4	3	5
83	차	부모와 자식 간의 세대 차가 크다.	그녀는 손님에게 대접할 차를 내왔다.	False	13	14	13	14
84	폐	본의 아니게 폐를 끼쳤습니다.	가끔 들러서 그림 얘기도 들으며 기탄없이 폐를 끼치겠습니다.	True	7	8	23	24
85	세	순전히 세를 받기 위해 지어 놓은 뒤채에는 기다란 일자집에 방만 무려 다섯 개가 된다.	돛 세 활을 단 배.	False	4	5	2	3
86	교정	지난 한 달 열흘 내내 텅 빈 채로 모진 바람이 먼지를 일으키던 그 교정에 아이들이 다시 뛰놀게 되었다.	이 선생의 글은 철저한 교정이 필요해 보여.	False	38	40	13	15
87	신장	나는 신장에서 구두를 꺼내 신었다.	아버지는 현관 입구에 신장을 새로 짜 넣으셨다.	True	3	5	12	14
88	사전	사전에 말을 다 맞춰 놓고 들어가자.	사전에 나와 있는 단어로만 말하기 게임을 하자.	False	0	2	0	2
89	경로	어버이날에 베푼 경로 잔치에 많은 노인이 참석하였다.	버스에서 노인에게 자리를 양보하는 젊은이들의 경로 사상은 좋은 풍속이다.	True	9	11	25	27
90	방위	항해사는 나침반의 방위를 살펴서 항로를 찾았다.	상철이의 부대는 한강의 방위를 포기하고 남하했다.	False	10	12	13	15
91	독주	빈속에 독주를 마셔 대니 몸이 견딜 수가 있나.	저 팀은 독주를 견제할 수 없을 정도로 전력이 막강하다.	False	4	6	5	7
92	독주	이번 연주회의 백미는 단연 바이올린 독주였다.	저 선수는 몇 년 동안 단거리 분야에서 독주를 하고 있다.	False	20	22	22	24
93	피복	기계가 철사를 비닐로 피복을 했다.	겉을 비닐로 피복을 한 대나무 바구니.	True	12	14	7	9
94	동기	우리 집 밥그릇은 동기다.	동기에는 스케이트를 탈 수 있다.	False	10	12	0	2
95	문단	요즘 문단에서 명성을 날리는 작가 중에는 여류 작가가 많다.	공통되는 내용끼리 묶으면 하나의 문단을 구성할 수 있다.	False	3	5	18	20
96	정사	조정의 부패한 정사를 생각한다면 실로 통탄하기 짝이 없는 일이었다.	진정으로 나라를 걱정하며 정사를 논할 인물이 없구나.	True	8	10	14	16
97	지체	더 이상의 지체는 용납할 수 없습니다.	저흰 지체가 낮으니, 부디 양반 나으리의 넓은 아량을 저희에게 보여주십시오.	False	6	8	3	5
98	원조	그의 원조로 어떻게든 버틸 수 있었다.	이 쭈꾸미 집이 전국에 있는 쭈꾸미집의 원조이다.	False	3	5	22	24
99	방	하룻밤 묵을 방을 잡다.	범인을 잡는 방을 붙이다.	False	7	8	7	8
100	진상	백공단 다섯 필은 어디에 선물 진상을 하기로 해서 구입하려 한다고 적혀 있군요.	이번 진상은 지역의 특산물과 소금으로 결정되었다.	True	17	19	3	5
101	부인	아직껏 재영이는 스스로 부인을 하고 감추려 하던 연연이에게 대한 애정이 노골화하여 오는 것을 인정했다.	남편을 잃거나 부인을 잃는 일은 세상에 허다하다.	False	13	15	8	10
102	보습	알로에, 오이, 수세미 등은 보습 성분이 풍부해서 비누나 팩을 만드는 데 자주 이용된다.	이 제품은 보습 기능이 강화된 새로운 입술 보호제이다.	True	16	18	6	8
103	말	그의 말을 믿으려 했다.	네 말이 구구절절 옳다.	True	3	4	2	3
104	정전	이를테면 전차도 표를 미리 내고 타는데, 가다가 고장이 나거나 오래 정전이 되어 그 차를 내리면 승객은 푯값을 손해 본다.	이날도 왕은 아침에 일찍이 일어나 정전에서 만조백관의 조하를 받고 모든 정사를 재결해 준 다음, 밤에는 또다시 편전에서 서연을 열었다.	False	38	40	19	21
105	간장	먹어 보고 싱거우면 간장을 더 넣어라.	미역국은 조선간장으로 간을 해야 한다.	True	11	13	7	9
106	동향	월간 경제 동향 보고 회의가 개최되었다.	안채를 동남쪽에 먼저 앉히고 사랑채와 행랑채는 동향 쪽에 앉혔다.	False	6	8	26	28
107	배포	배포가 두둑한 윤보였지만 왠지 월선을 다시 만난 것은 거북했다	유인물 배포.	False	0	2	4	6
108	도청	도지사는 도청에서 기자 회견을 열었다.	누군가 도청을 하는지 전화의 감이 좋지 않구나.	False	5	7	4	6
109	침식	황토는 물의 침식에 약하다.	이곳은 침식이 제일 불편하다.	False	7	9	4	6
110	고지	양초는 고지에서는 필수 불가결의 보급품이다.	그 마을은 고지에 자리 잡아 다른 곳보다 기온이 낮다.	False	4	6	6	8
111	경유	근래 들어 휘발유 수요가 줄어들고 등유가 경유로 대체되고 있다.	서울시는 경유로 운행되는 기존의 버스들을 엘피지 차량으로 대치하고 있다.	True	23	25	5	7
112	환상	그림자 환상을 할 적마다 나는 등골이 서늘해졌다.	그녀는 이미 죽은 남편의 환상을 보고는 눈물을 흘렸다.	False	4	6	14	16
113	사관	사관에 사로잡힌 역사학도 옳은 역사학이 못 되고 사료에만 사로잡혀도 옳은 역사학이 못 돼.	사관 학교에 입학할 때에는 건달처럼 건들대더니만 졸업할 때에는 어엿한 장교가 되어 있었다.	False	0	2	0	2
114	전신	선생님 앞에 서자 부끄러움이 전신에 죄어들었다.	전신은 조선어 학회이다.	False	16	18	0	2
115	일식	너는 한식, 중식, 일식 중에 뭘 좋아하니?	개기 일식 때 코로나와 채층을 볼 수 있다.	False	11	13	3	5
116	전자	전자 제품을 외국에 역수출하다.	전자 대리점에서 라디오를 구입했다.	True	0	2	0	2
117	한	술로 망향의 한을 달랬다.	한이 잔뜩 맺혔다.	True	7	8	0	1
118	장기	결혼 잔치에 드는 장기를 뽑아 보니 비용이 만만치 않다.	땅 흥정을 붙여 보려고 장기까지 얻어 가지고 있었다.	True	10	12	13	15
119	주재	현대 건축물은 철근, 시멘트, 유리를 주재로 한다.	그 약은 삼과 용을 주재로 한 보약이다.	True	21	23	11	13
120	모자	우리 모자에게 그 소식은 청천벽력과도 같았다.	한쪽으로 기우듬하게 쓴 모자.	False	3	5	13	15
121	단수	예고 없던 단수로 많은 시민이 큰 불편을 겪었다.	경호는 사람을 다루는 솜씨가 보통 단수가 아니다.	False	6	8	19	21
122	조리	그는 요즘 많이들 신고 다니는 조리를 매우 싫어한다.	몸은 산후 조리도 변변찮아 아직 부기가 빠지지 않아 천 근 무게였지만 한참을 걸으니 추위는 조금 가시는 듯했다.	False	17	19	6	8
123	백미	이 작품은 그의 명작 중에서 백미로 꼽힌다.	백미 삼백 석.	False	16	18	0	2
124	수양	자기 한 몸의 수양을 위하여 이미 전답 날갈이를 모두 썼다.	수양은 왕의 신임을 잃고 대신들의 꺼림을 받고 재상들의 빈척을  받았다.	False	8	10	0	2
125	소생	세포가 비가역적 손상을 받으면 다시는 소생이 될 수 없다.	지금 응급 치료를 하면 환자의 소생 가능성이 있습니다.	True	21	23	17	19
126	간주	뇌사는 사망으로 간주를 해야 한다는 주장에 종교계의 반론이 만만치 않다.	내 명령을 지금 당장 이행하지 않는다면 명백한 하극상으로 간주를 하겠다.	True	9	11	32	34
127	고지	우물이 있었던 그 고지가 생각난다.	다 다진 누룩을 고지에서 꺼내었다.	False	10	12	9	11
128	문장	한 문장을 다 쓰고 점을 찍어 마쳤다.	문장이 모호하여 의미를 알 수 없다.	True	2	4	0	2
129	사관	이 소령은 육군 사관 학교 출신으로 국방 연구원에서 연구원 생활을 한 뒤 미국 해군 대학원에서 부교수까지 지낸 경력을 가지고 있다.	이 교수는 이 책에서 민족 사관과 민족주의를 맹렬히 공격하고 있지만 그를 반민족주의자라고 낙인찍기는 곤란하다.	False	9	11	15	17
130	기구	실험실에는 여러 가지 실험 기구와 약병들이 있다.	노인과 허약자는 위험한 놀이 기구의 탑승을 금합니다.	True	15	17	16	18
131	바람	부인이 버젓이 있는데 바람을 피우다니!	공이 너무 딴딴해서 바람을 조금 뽑았다.	False	12	14	11	13
132	단식	단식을 끝낼 때에는 먼저 미음으로 속을 다스려야 한다.	그는 탁구 대회에서 단식 3위, 복식 2위를 차지했다.	False	0	2	11	13
133	휴지	길거리에 휴지를 버리거나 껌을 뱉는 사람은 문화인이라 할 수 없다.	그 학생들은 빈병이나 휴지를 매각한 대금으로 학용품을 구입함으로써 폐자원 이용의 보람을 만끽했다.	True	5	7	12	14
134	유기	공장의 유기 물질로 인해 강물의 혼탁도가 위험 수준을 넘었다.	미생물로 하여금 생활 하수에 함유된 각종 유기 물질들을 분해하도록 하였다.	True	4	6	23	25
135	시중	비굴하게 굴며 시중을 드느니 차라리 빌어먹고 말지.	시중 어디를 가나 모두 그 소문을 수근대고 있었다.	False	8	10	0	2
136	서리	추수를 해야겠다. 서리가 내리기 전에 말이야.	낯을 가린 뻣뻣한 장정이 서리 같은 칼을 들고 나타났다.	True	10	12	14	16
137	상의	상의 위 주머니에서 무언가 두꺼운 종이 뭉치 같은 것이 만져졌다.	나는 신사복의 상의를 벗고 와이셔츠 단추를 풀어 오른쪽 팔뚝을 굽혔다.	True	0	2	8	10
138	정시	정시가 되자 사회자는 결혼식을 개식했다.	수시나 면접 고사 비중이 큰 자기 추천형 특별 전형을 제외하면 정시 모집에선 미트 성적이 당락을 결정한다.	False	0	2	35	37
139	수위	수위 아저씨는 열쇠를 찰그랑거리며 달려왔다.	관청의 일은 수위부터 삶아 놓아야 만사가 편하다.	True	0	2	7	9
140	개화	그들은 개화를 모토로 내걸었다.	꽃의 개화를 보는 것은 처음이었다.	False	4	6	3	5
141	군사	군사 기밀이 외부로 샌다.	유방의 군사였던 장량은 훗날 신선이 되었다고 전해지기도 한다.	False	0	2	4	6
142	가설	급하게 만들어야 해서 그런데 전등 가설에 필요한 재료는 어디서 나나요?	논리적인 사고가 풍부한 가설을 발상하게 해 준다.	False	19	21	13	15
143	밴드	우리는 밴드에 맞추어 노래를 부르면서 술을 마셨다.	노래방에서는 전자 악기로 구성된 밴드 반주가 나온다.	True	4	6	18	20
144	동심	이 그림은 우리가 어렸을 적 품었던 동심을 여실히 그려 내고 있다.	어린 시절 학교 길에서 볼 수 있었던 코스모스는 언제나 준구를 동심으로 이끌어 주는 끈이었다.	True	20	22	35	37
145	망	내가 망을 볼 테니 당신이 그 서류를 감춰요.	내가 망을 볼 테니 당신이 그 서류를 감추어요.	True	3	4	3	4
146	대입	수치 대입을 통한 실질적 문제 풀이가 필요하다.	정답 대입에 필요한 근거를 계산하여 찾으시오.	True	3	5	3	5
147	안심	듣건대 당국이 이 문제의 해결을 서두른다 하니 일단 안심이 된다.	나는 등심보다는 안심을 좋아한다.	False	29	31	9	11
148	금수	남의 은혜를 저버리는 사람은 금수만도 못하다.	금수도 영웅호걸은 알아보거든. 더구나 호랑이는 신령스러운 짐승이 아닌가.	True	16	18	0	2
149	약수	그는 차례를 기다려 약수를 한 식기 마셨다.	우리 마을 뒷산에서 용출하는 약수는 위장병 치료에 매우 효과가 있다고 한다.	True	11	13	16	18
150	가정	이런 일일수록 동네 사람들은 동네 사람들끼리 단합을 잘해야 하고 또 가정에서는 가정대로 화목해야 합니다.	지아비를 사랑하면서 따뜻한 가정을 꾸려 가고 싶은 욕심은 그녀의 현재의 생존 형편에서는 하나의 꿈이고 사치고 신기루이다.	True	38	40	15	17
151	산성	이 산성을 짓기 위한 돌들은 모두 인근에서 조달한 것이 아니다.	산성에 모든 금속이 녹는 것은 아니다.	False	2	4	0	2
152	사료	비료, 농약, 사료 등 농용 자재에 대한 수요가 감소하여 농업 관련 산업이 위축되고 있다.	그 선교사가 본국의 본부와 주고받은 공함은 오늘날 역사적 사료로서 중요한 가치를 지닌다.	False	8	10	32	34
153	난관	나는 난관에 염증이 있다는 의사의 진단을 듣고 눈물을 흘렸다.	난관에 봉착한 상황이 믿기질 않는다.	False	3	5	0	2
154	간장	그 환자는 간장이 약해 큰일이다.	파전을 간장에 찍어 먹었다.	False	6	8	4	6
155	사지	그 순간 나는 사지에 힘이 빠지고 온몸이 자지러드는 걸 느꼈다.	사지 멀쩡한 사람이 번둥번둥 놀고만 있다.	True	8	10	0	2
156	동상	세계 발명품 경진 대회에서 우리나라가 금상과 동상을 수상했다.	남극 탐험대는 온몸에 동상이 걸리는 어려움에도 불구하고 남극점에 도착하였다	False	25	27	12	14
157	성명	정권의 부도덕성에 관한 성명이 잇달았다.	여기에 본인의 연락처와 성명을 기입해 주세요.	False	13	15	13	15
158	외상	장부에 기입된 것은 전부 외상 거래를 한 거야.	마침 수중에 돈이 없으니 초면에 미안은 하나 외상을 줄 수 없는가?	True	14	16	25	27
159	교감	학교 교감을 달려고 부단히 노력했었다.	교장과 교감이 서로 자기 탓이 아니라고 부인하였다.	True	3	5	4	6
160	무리	그렇게 화를 내는 것도 무리가 아니다.	으스름 무리 먹은 달밤은 별빛조차 흐리다.	False	13	15	4	6
161	동지	그러니까 동지에 집을 지으려고 했다는 얘기지?	동지는 밤이 가장 긴 날이다.	False	5	7	0	2
162	요지	예전에 강경은 교통의 요지이고 물산의 집산지여서 경제적으로 풍요로웠다.	간담회에서 김 대통령의 발언 요지를 가지고 청와대 측과 기자들은 일문일답하였다.	False	12	14	16	18
163	국가	국가 대표 야구 선수.	한 국가의 흥성과 패망.	True	0	2	2	4
164	현	우리 현의 없어진 가호를 이웃 고을들에 옮기어 배정하고자 하게 된 것인데….	하프를 탄주하는 손이 헝클어진 현을 어루만지고.	False	3	4	17	18
165	일	읍내에 일을 보러 다녀오시는 우리 할아버지.	삼 일 동안 계속 비가 내리다.	False	4	5	2	3
166	분수	시원스럽게 내뿜는 분수를 보니 더위가 한결 가신다.	공원 한가운데에 분수가 있다.	True	10	12	9	11
167	주사	김 주사는 큰아들의 배필을 일찌감치 정해 두었다.	그는 당뇨병 때문에 매일 인슐린 주사를 맞아야 한다.	False	2	4	18	20
168	공포	공포를 어떻게 역학적으로 효과 있게, 그리고 외형적으로 멋있게 짜느냐가 목조 건물에서는 아주 중요하다.	공포로 온몸을 파들파들 떨다.	False	0	2	0	2
169	바람	복부인들은 부동산 투기 바람을 일으키고 다녔다.	동생이 춤바람이 났다.	True	13	15	5	7
170	변	한강 변을 따라 걸었다.	저수지의 남쪽 변을 따라 공원이 조성되어 있었다.	True	3	4	8	9
171	농	그는 농 한마디 하는 법이 없는 진지한 사람이다.	농을 곧잘 하고 눈치도 어지간한 사람이오.	True	3	4	0	1
172	후원	세조는 후원에 있던 나무도 모두 베어버렸다.	언제나 후원을 하겠습니다.	False	4	6	4	6
173	적기	적기의 공습에 대비한 방비가 허술하다.	그는 현상황을 투자의 적기로 판단하였다.	False	0	2	12	14
174	정경	굶주리고 헐벗고 있는 그들의 참혹한 정경은 차마 눈으로 바라볼 수가 없소.	한국의 절은 대개 정경에 위치해 있다.	True	20	22	10	12
175	골	감기가 들었는지 골이 들이쑤신다.	그런 문제로 골을 썩일 필요는 없다.	True	9	10	7	8
