source	acceptability_label	source_annotation	sentence
T00090	1		절대로 오지 말아라.
T00090	0	?*	절대로 와라.
T00091	1		그는 계획을 밀고 나간다.
T00091	0	*	그는 계획을 밀고 계속해서 나간다.
T00092	0	*	별이 연거푸 반짝한다.
T00095	1		아무리 밀어도 밀리지 않는다.
T00095	0	?	아무리 밀어 놓아도 밀리지 않는다.
T00096	0	*	버스와 막 화물차가 부딪쳤다.
T00097	0	*	화초가 시들었습니다. 꽃밭에 물을 줄까?
T00098	1		철수가 어머니에게 빨리 떠나자고 말했다.
T00098	0	*	철수가 어머니에게 우리가 빨리 떠나자고 말했다.
T00099	1		바위에 구멍이 쉽게 뚫어졌다.
T00099	0	?	바위에 구멍이 쉽게 뚫리었다.
T00100	1		뛰지 않겠으면 뛰지 말아라.
T00100	0	*	뛰겠으면 뛰지 말아라.
T00102	1		이 작은 글씨는 확대경으로 읽어졌다.
T00102	0	?	이 작은 글씨는 확대경에 읽어졌다.
T00103	1		영자가 영수와 헤어졌다.
T00103	0	?	영자가 영수하고 헤어졌다.
T00106	1		그는 버스에서 의자에 앉았다.
T00106	0	*	그는 버스에 의자에 앉았다.
T00107	1		철호가 성실하다고 나에게 보인다.
T00108	1		나는 이 사건의 주모자를 너라고 들었다.
T00108	0	*	나는 네가 이 사건의 주모자를이라고 들었다.
T00110	1		나는 유학하려고 한다.
T00110	0	*	나는 유학했으려고 한다.
T00111	1		창수는 아침 일찍 학교에 뛰어 걸어갔다.
T00111	0	?	창수는 아침 일찍 학교에 뛰었다.
T00113	1		영수가 동생이 퍽 아프다.
T00113	0	*	영수의 퍽 동생이 아프다.
T00114	1		그 아이가 넘어지지 않도록 해.
T00114	0	?	그 아이가 넘어지지 말도록 해.
T00115	1		어제 비가 와서 땅이 질었다.
T00115	0	*	내일 비가 와서 땅이 질겠다.
T00118	1		복남이는 칼을 연필과 함께 샀다.
T00118	0	*	복남이는 칼을 연필과 샀다.
T00119	1		소녀가 차분하니 앉아 있다.
T00119	0	*	소녀가 외롭니 앉아 있다.
T00120	1		그곳에 가지 말아라.
T00120	0	*	그곳에 가지 않아라.
T00121	1		저고리가 아이에게 입혀졌다.
T00121	0	?	저고리가 아이에게 입어졌다.
T00122	1		그것을 사랑이라고 부르기로 한다.
T00122	0	*	그것을 사랑이라고 부르기로 부른다.
T00123	1		나는 전세가 불리하다고 한 사실을 알았다.
T00123	0	*	나는 전세가 불리하다고 할 사실을 알았다.
T00124	1		소년이 방금 한 명이 왔다.
T00124	0	*	소년 방금 한 명이 왔다.
T00126	1		선생님이 학생들에게 놀자고 먼저 제안하셨다.
T00126	0	*	선생님이 학생들에게 우리가 놀자고 제안하셨다.
T00127	1		비가 그렇게 많이 오는데 그가 올 리가 있느냐.
T00127	0	*	비가 그렇게 많이 오는데 그가 올 리를 있느냐.
T00129	1		마음이 든든을 하다.
T00129	0	*	마음이 든든을 하고 있다.
T00130	1		손님은 물건을 손수 고른다.
T00130	0	*	물건이 손수 손님에게 골라진다.
T00131	1		나는 오늘의 이 기쁨을 마음껏 기뻐하겠다.
T00131	0	*	나는 오늘의 이 기쁨이 마음껏 기쁘겠다.
T00132	1		철수는 영화를 보고 싶어 한다.
T00132	0	*	철수는 영화가 보고 싶어 한다.
T00133	1		영수가 밥을 먹고 학교에 갔다.
T00133	0	*	영수가 밥을 먹어서 학교에 갔다.
T00134	1		철수는 갔지만 창수는 안 갔다.
T00134	0	?	철수는 갔지만 창수는 갔다.
T00135	0	*	창문 밖으로 내다 빨리 보아라.
T00136	1		난 쇠고기는 먹어도 돼지고기는 안 먹는다.
T00136	0	?	난 쇠고기를 먹어도 돼지고기를 안 먹는다.
T00137	1		나는 너를 이 사건의 주모자라고 들었다.
T00137	0	*	나는 너를 이 사건의 주모자를이라고 들었다.
T00138	1		그의 눈동자는 까만 빛이 난다.
T00138	0	*	그의 눈동자는 까만 빛 난다.
T00140	1		순이가 점심을 먹지를 않는다.
T00140	0	*	순이가 점심을 먹지가 않는다.
T00141	0	*	철수가 제 방에서 자서 제 방에 간다.
T00142	0	*	철수는 모자를 쓰며 간다.
T00143	1		굴뚝이 저절로 막히었다.
T00143	0	?	굴뚝이 저절로 막아졌다.
T00144	1		음식이 넉넉히 마련되었다.
T00144	0	*	음식이 마련됨이 넉넉했다.
T00145	1		네가 할 수 있겠는지 없겠는지 알아보아라.
T00145	0	*	네가 할 수 있겠거나 없겠거나 알아보아라.
T00146	1		그는 아주 화가 났다.
T00146	0	?	그는 굉장한 화가 났다.
T00147	1		내가 산 물건이 책이다.
T00147	0	*	내가 산 물건이 사실이다.
T00148	1		철수는 내가 책을 주었다.
T00148	0	*	내가 철수는 책을 주었다.
T00150	1		영수가 그 새를 죽게 했기 때문에 그 새가 죽었다.
T00150	0	??	영수가 그 새를 죽였기 때문에 그 새가 죽었다.
T00151	1		그 건물은 왼쪽 벽에 많은 유리창을 하였다.
T00152	1		영철이가 우체국에 가서 편지를 부쳤다.
T00152	0	*	영철이가 우체국에 가고 편지를 부쳤다.
T00153	1		그이가 발음이 똑똑하게 말한다.
T00153	0	*	그이가 발음이 똑똑히 말한다.
T00154	1		어디를 가나 살기 어렵기는 마찬가지다.
T00154	0	*	어디는 가나 살기 어렵기는 마찬가지다.
T00155	1		그가 꽃을 화분들에 심었다.
T00155	0	*	그가 꽃을 화분에들 심었다.
T00156	1		명수는 창수에게 밥을 지어다 주었다.
T00156	0	?	명수는 창수에게 집을 지어다 주었다.
T00157	1		그가 칼을 갈아 놓았다.
T00157	0	?	그는 칼을 써 놓았다.
T00158	1		철호가 편지를 써서 부쳤다.
T00158	0	*	철호가 편지를 쓰고 부쳤다.
T00161	1		범죄가 사실로 드러났다.
T00161	0	*	범죄가 사실이 드러났다.
T00162	0	*	나는 그의 결정이 옳았다고 견해를 가지고 있다.
T00163	1		우리들에게 그 책이 없다들.
T00163	0	*	우리에게들 그 책이 없다.
T00164	1		준비가 안 돼서 아직 못 떠나고 있다.
T00164	0	*	준비가 안 됐어서 아직 못 떠나고 있다.
T00165	1		철호가 종이를 벽을 발랐다.
T00165	0	*	철호가 종이로 벽에 발랐다.
T00166	1		내가 춥다.
T00166	0	*	그이가 춥다.
T00167	1		철수는 종소리를 더 잘 듣더라.
T00170	1		그 친구는 내게 와라 말아라 한다.
T00170	0	*	그 친구는 내게 말아라 와라 한다.
T00171	1		손을 씻고 밥을 먹어라.
T00171	0	*	손을 씻어서 밥을 먹어라.
T00172	1		네가 학교에 가라!
T00172	0	*	철수가 학교에 가라!
T00173	1		네가 더우냐?
T00175	1		술에 취하니 머리가 어지러웠다.
T00175	0	*	술에 취하더니 머리가 어지러웠다.
T00177	1		내 기대가 네 행위에서 어긋났고 네 행위가 내 기대에서 어긋났다.
T00177	0	*	내 기대가 네 행위에서 어긋나고서 네 행위가 내 기대에서 어긋났다.
T00178	1		사치품을 사지 말아라!
T00178	0	?	사치품 안 사기를 해라!
T00180	1		시장에 많은 팥이 났다.
T00180	0	*	시장에 많이 팥이 났다.
T00182	1		체온이 싸늘하니 식었다.
T00182	0	*	체온이 식음이 싸늘하다.
T00183	1		축대가 무너지지 않도록 해라.
T00183	0	?*	축대가 무너지지 말도록 해라.
T00184	1		네가 한 턱 내라.
T00184	0	*	내가 한 턱 내라.
T00185	1		순이가 학교에 남아서 공부한다.
T00185	0	*	순이가 학교에 남고 공부한다.
T00186	1		네가 말 조심 해라.
T00186	0	*	내가 말 조심 해라.
T00187	1		나는 먼 산을 보고 있다.
T00188	1		성이 나서 날뛰는 사람은 물과 불을 모른다.
T00189	1		상자를 밀었으나 밀리지 않았다.
T00189	0	?	상자를 밀어 놓았으나, 밀리지 않았다.
T00191	1		눈 앞에 큰 산이 보였다.
T00191	0	?	눈 앞에 큰 산이 보아졌다.
T00192	1		그 생선이 잘 굽혀 있다.
T00192	0	*	생선이 굽혀 놓았다.
T00193	1		너는 영화를 보고 싶으냐?
T00193	0	*	너는 영화를 보고 싶어하느냐?
T00195	1		그는 사원으로 일한다.
T00195	0	*	그는 사원이 일한다.
T00196	1		순이가 빵을 만들어서 먹었다.
T00196	0	*	순이가 빵을 만들고 먹었다.
T00197	1		영수가 그 새를 죽게 했으나 안 죽었다.
T00197	0	*	영수가 그 새를 죽였으나 안 죽었다.
T00198	1		언제가 될지 모르지만 한번 들르지요.
T00198	0	*	언제는 될지 모르지만 한번 들르지요.
T00199	1		나는 네가 가지 말기를 바란다.
T00199	0	?	나는 그 아이가 가지 말기를 바란다.
T00200	1		노새가 나귀에 비슷하고 나귀가 노새에 비슷하다.
T00200	0	*	노새가 나귀에 비슷하고서 나귀가 노새에 비슷하다.
T00202	1		어제 공책을 다 써서 공책을 사러 갔다.
T00202	0	*	내일 공책을 다 써서 공책을 사러 가겠다.
T00203	1		철수가 영호가 왔다고 말했다.
T00203	0	*	철수가 영호가 왔느냐고 말했다.
T00204	1		나는 범인이 검문소를 통과했다고 사실을 밝혔다.
T00205	1		이 연필은 길지만 저 연필은 짧다.
T00205	0	?	이 연필은 길지만 저 연필은 길다.
T00208	1		담배를 피우면서, 글을 썼다.
T00208	0	?	담배를 피워 놓으면서, 글을 썼다.
T00209	1		도둑이 칼을 들고 서 있다.
T00209	0	*	도둑이 칼을 들어서 서 있다.
T00210	1		친구가 가끔 여럿이 모인다.
T00210	0	*	친구 가끔 여럿이 모인다.
T00211	1		영수와 철수가 함께하였다.
T00211	0	*	영수가 철수한테 함께하였다.
T00213	1		그는 대학을 일찍 졸업하고 나서 취직을 했다.
T00213	0	*	그는 대학을 졸업하고 일찍 나서 취직을 했다.
T00214	1		매일 12시가 다 되어서 그는 집에 돌아온다.
T00214	0	*	매일 12시가 다 되기 때문에 그는 집에 돌아온다.
T00215	1		그가 허리를 굽히고 춤을 추었다.
T00215	0	*	그가 허리를 굽혀서 춤을 추었다.
T00216	1		내가 덥다.
T00216	0	*	철수가 덥다.
T00217	1		창수는 내년부터 부지런히 공부해 가겠다고 한다.
T00217	0	*	창수는 내년부터 부지런히 공부해 오겠다고 한다.
T00218	1		철수가 영수와 같이 학교에 간다.
T00218	0	*	철수가 영수와 학교에 간다.
T00219	0	*	철수가 영수를 만나고 영수에게 도와 달라고 부탁했다.
T00222	0	*	나는 방금 밥을 먹겠다.
T00223	1		너는 바보스러워져라!
T00223	0	??	너는 바보스러워라!
T00224	1		유학하려고 내가 의도한다.
T00224	0	*	유학했으려고 내가 의도한다.
T00225	1		그가 살아 있다는 소문이 나돌았다.
T00226	1		그의 책은 내 것보다 크다.
T00228	0	?	나는 너를 이 사건의 주모자를 아니라고 들었다.
T00229	1		6의 배수이면, 2의 배수다.
T00229	0	*/a	6의 배수이라야, 2의 배수다.
T00230	1		그는 저 회사에 들어갔다.
T00230	0	*	그는 저 회사에 들어왔다.
T00231	1		이 옷은 아주 새 것이다.
T00231	0	*	이 옷은 아주는 새 것이다.
T00232	1		아들이 아버지를 닮았다.
T00232	0	*	아버지가 아들을 닮았다.
T00233	1		머리가 길게 자랐다.
T00233	0	*	머리가 길이 자랐다.
T00234	1		너는 영화가 보고 싶으냐?
T00234	0	*	너는 영화가 보고 싶어하느냐?
T00235	1		그가 내 말을 곧이듣는다.
T00235	0	*	그가 내 말을 곧게 듣는다.
T00236	1		철수는 운동장에서 뛰었다.
T00236	0	?	철수는 운동장에 뛰었다.
T00237	0	*	이 항구에는 큰 배가 자주 들고 또 난다.
T00238	0	*	철수가 우체국에 갔어서 편지를 부쳤다.
T00240	1		나는 그 회의에 나가지 않겠다는 결정을 내렸다.
T00240	0	*	나는 그 회의에 안 나가겠다고 결정을 보류했다.
T00241	1		밥을 먹지 말고 잠을 자라.
T00241	0	*	그 아이는 밥을 먹지 말고 잠을 잤다.
T00242	1		철수가 자기 집 소나무를 뽑아 버렸다.
T00242	0	*	철수에게 자기 집 소나무가 뽑혀 버렸다.
T00243	0	*	내가 추워진다.
T00244	1		어머니는 석 달된 아이에게 옷을 입혔다.
T00245	0	*	내가 추위에 의하여 고의로 결석되었다.
T00246	1		철수가 추워한다.
T00246	0	*	날씨가 추워한다.
T00248	1		네 얼굴이 창백하지 않기를 바란다.
T00249	1		나는 너희를 모두가 예쁘다고 느낀다.
T00249	0	*	나는 모두를 너희가 예쁘다고 느낀다.
T00250	1		순희가 곧 돌아갈 눈치다.
T00250	0	*	순희가 곧 돌아가겠다는 눈치다.
T00251	1		그는 아내를 그림을 그린다.
T00251	0	*	그는 아내를 좋은 그림을 그린다.
T00252	1		꽃들은 그가 화분에 심었다.
T00252	0	*	꽃은들 그가 화분에 심었다.
T00253	1		아무리 굽혀도 굽혀지지 않는다.
T00253	0	?	아무리 굽혀 놓아도 굽혀지지 않는다.
T00254	1		내가 아버지가 잡은 고기를 먹었다.
T00254	0	*	내가 아버지는 잡은 고기를 먹었다.
T00255	1		여름에는 산으로 들로 바다로 가자.
T00255	0	*	여름에는 산에 들에 바다에 가자.
T00256	1		연필이 나에게 잡혔다.
T00256	0	*	연필이 나에 의해서 잡혔다.
T00257	1		형은 동생을 실력자로 추천하였다.
T00258	1		그녀는 자신에 놀랐다.
T00258	0	*	그녀는 자신한테 놀랐다.
T00260	1		그 책은 내가 읽었는데, 잃어버렸다.
T00261	1		비가 그렇게 많이 오는데 그가 올 리가 있나.
T00261	0	*	비가 그렇게 많이 오는데 그가 올 리를 있나.
T00262	1		나는 그 여자를 좋아한다.
T00264	1		영수가 밥을 먹고서 철수가 밥을 먹겠다.
T00264	0	*	영수가 밥을 먹겠고 나서 철수가 밥을 먹겠다.
T00265	1		그는 열 시까지 일을 끝내겠다고 계획을 세웠다.
T00265	0	*	그는 열 시까지 일을 끝내겠다고 계획을 취소했다.
T00266	1		철수가 의자에 앉아서 신문을 읽는다.
T00266	0	*	철수가 의자에 앉고 신문을 읽는다.
T00267	1		가지 말아라.
T00267	0	*	가지 아니하여라.
T00268	1		나만 안 가고 다른 사람은 갔다.
T00270	1		물이 맑아지고 있다.
T00270	0	?	물이 맑고 있다.
T00271	1		철수는 상자를 마루에서 밀었다.
T00271	0	?	철수는 상자를 마루에 밀었다.
T00273	1		연필을 깎다가 그만두었다.
T00273	0	*	연필을 깎아 놓다가 그만두었다.
T00274	1		가슴이 철렁철렁한다.
T00274	0	*	가슴이 자꾸만 철렁한다.
T00276	1		아무리 빨리 걷는 사람일지라도 서울서 부산까지 하루 만에는 걸어 가지 못한다.
T00276	0	?	아무리 빨리 걷는 사람이더라도 서울서 부산까지 하루 만에는 걸어 가지 못한다.
T00277	1		질적인 문제를 고려할 수가 없다.
T00280	1		내가 아버지가 아픕니다.
T00280	0	*	내가 아버지가 내가 아픕니다.
T00281	1		영수가 도서관에 가서 공부한다.
T00281	0	*	영수가 도서관에 가고 공부한다.
T00282	1		도둑이 칼을 들고 춤을 춘다.
T00282	0	*	도둑이 칼을 들어서 춤을 춘다.
T00287	1		나는 그 술집에 자주 가게 되더라.
T00287	0	*	나는 그 술집에 자주 가더라.
T00288	1		그는 자신이 제일 먼저 가기 바랐다.
T00288	0	*	그는 자신이 제일 먼저 간다기 바랐다.
T00289	1		당신들은 그 사람이 좋아들?
T00289	0	?*	우리들은 그 사람이 좋아들.
T00290	1		철이가 미자와 결혼했다.
T00290	0	*	철이가 미자에게 결혼했다.
T00291	1		우리 금붕어가 죽었어. 내가 죽였어.
T00291	0	*	우리 금붕어가 죽었더라. 내가 죽였어.
T00292	1		철수의 눈에는 총기가 빛난다.
T00292	0	*	철수에게는 총기가 빛난다.
T00293	0	?	철수는 학교에 갔으리라.
T00294	1		혼자서 아이들 네 명을 기르느라고 힘이 들어요.
T00294	0	*	혼자서 아이들 네 명을 기르느라고 힘이 들지 않아요.
T00295	1		비가 오지 않는지 모른다.
T00295	0	*	비가 왔지 않는지 모른다.
T00296	1		차가 참 빠르게 달린다.
T00296	0	*	차가 참 달린다.
T00297	1		이 집이 대단히 안 비싸고, 조금 비싸다.
T00297	0	*	이 집이 대단히 안 비싸고, 대단히 싸다.
T00298	1		영자가 앉은 자리에 철수가 앉았다.
T00298	0	*	영자가 앉았는 자리에 철수가 앉았다.
T00299	1		수일이 건강하여 지었다.
T00299	0	*	지었다, 수일이 건강하여 
T00300	1		할아버지는 당신이 하시지 않으셨다고 말씀하셨어요.
T00300	0	*	할아버지는 자기가 하시지 않으셨다고 말씀하셨어요.
T00302	1		동생이 웃더라.
T00302	0	*	동생이 웃는더라.
T00303	1		내가 집에 갈까 싶다.
T00303	0	*	그가 집에 갈까 싶다.
T00304	1		그는 자신이 제일 먼저 감이 기뻤다.
T00304	0	*	그는 자신이 제일 먼저 간담이 기뻤다.
T00305	1		그가 집에 갔는가 보다.
T00305	0	*	내가 집에 갔는가 보다.
T00306	1		내가 읽었던 책이 없어졌다.
T00306	0	*	내가 책을 읽었던 책이 없어졌다.
T00307	1		그가 독약을 안 먹고 죽었다.
T00307	0	*	그가 독약을 안 먹어 죽었다.
T00308	1		순이가 손이 예쁘더라.
T00308	0	*	순이가 손이 예쁘던다.
T00309	1		내가 책을 읽더냐?
T00309	0	*	네가 책을 읽더냐?
T00311	1		신문은 장관이 부하를 때린 행동을 보도했다.
T00311	0	*	신문은 장관이 부하를 때린 행동을 주장했다.
T00312	1		영이는 학교에 다니기를 시작했다.
T00312	0	*	영이는 학교에 다님을 시작했다.
T00313	1		학생이 학교에서 달린다.
T00313	0	*	학생이 학교 달린다.
T00314	1		친구가 나에게 술을 마시게 한다.
T00314	0	?	친구가 나에게 술을 마시게 권유한다.
T00315	1		현재 다섯 대 보유하고 있습니다.
T00315	0	*	현재 다섯 대 보유하는 중입니다.
T00316	1		할아버지께서 그 일에 빠져들으셨다.
T00317	1		너처럼 나도 미혼이다.
T00317	0	*	너만큼 나도 미혼이다.
T00318	1		좀 있는 집이라고 너무 거들먹거린다.
T00318	0	*	좀 있은 집이라고 너무 거들먹거린다.
T00319	1		학교가 어저께는 쉬었다.
T00319	0	*	학교는 어저께가 쉬었다.
T00320	1		이것은 셋 중에서 매우 좋다.
T00320	0	*	이것은 셋 중에서 썩 좋다.
T00321	1		나는 밥을 먹고 싶더라.
T00321	0	*	그는 밥을 먹고 싶더라.
T00322	1		나는 모자를 빌렸다.
T00322	0	*	나는 모자를 꾸었다.
T00323	1		무척 다행히 태풍이 비켜 갔다.
T00323	0	*	무척 태풍이 비켜 갔다.
T00325	1		배가 꽤 정박했다.
T00325	0	*	정박한 배가 꽤이다.
T00326	1		어찌하고 있다고?
T00326	0	*	어떠하고 있다고?
T00327	1		웃음은 사람을 젊어지게 한다.
T00327	0	?	웃음은 사람을 젊게 한다.
T00328	1		바람이 불고 있다.
T00328	0	?	바람이 부는 중이다.
T00329	0	*	내가 손이 크더라.
T00330	1		날씨가 좋아야 여행가고 날씨가 좋지 않으면 여행은 못 간다.
T00330	0	*	날씨가 좋아야 여행가고 날씨가 좋지 않아야 여행은 못 간다.
T00331	1		그 사람은 모질지 못하다.
T00332	0	*	젊은 친구야, 그런 염세적인 생각은 집어치게.
T00333	1		영수가 가지 않았는지 물어보라.
T00333	0	*	영수가 갔지 않는지 물어보라.
T00334	1		철수는 영희가 사랑한다는 소문이 퍼져 있다. 그러나 동수는 퍼져 있지 않다.
T00334	0	*	철수를 영희가 사랑한다는 소문이 퍼져 있다. 그러나 동수를 퍼져 있지 않다.
T00335	1		오빤, 그럼 집에 안 갈 테예요?
T00335	0	*	오빤, 그럼 집에 못 갈 테예요?
T00336	0	*	이곳은 군사 지역이라서 사진을 안 찍습니다.
T00337	1		나는 그 친구의 이야기를 듣느라니까 눈물이 났어요.
T00337	0	*	나는 그 친구의 이야기를 듣느라니까 눈물이 나겠어요.
T00338	1		철수가 학교에 가기를 당부한다.
T00338	0	*	철수가 학교에 갔기를 당부한다.
T00340	1		반장은 김영숙이고 부반장은 박혜순이다.
T00340	0	?	반장은 김 영숙이이고 부반장은 박 혜순이이다.
T00341	1		열차가 꽤 지나다닌다.
T00341	0	*	열차가 꽤 많이 탈선했다.
T00342	1		그 집에 내가 먼저 갈테니, 넌 나중에 와.
T00342	0	*	그 집에 내가 먼저 올테니, 넌 나중에 와.
T00344	1		물건이 나쁜데, 값은 비싸다.
T00344	0	*	물건이 좋은데, 값은 비싸다.
T00345	1		철수가 학교에 가기가 쉽다.
T00345	0	*	철수가 학교에 감이 쉽다.
