ID	sentence	question	1	2	Answer
19	스피커 근처에 마이크를 가져다대었다.	결과	스피커에서 아무런 소리도 나지 않는다.	소름끼치게 큰 소리가 울려퍼진다.	2
20	여성이 남성을 경찰에 신고했다.	원인	남성이 경찰차에서 내렸다.	여성이 남성의 범죄현장을 목격했다.	2
21	필통 지퍼를 열었다.	결과	지익 소리가 난다.	아무 소리도 나지 않는다.	1
22	만두를 찜기에 넣었다.	결과	만두를 빚었다.	만두가 익었다.	2
23	여자가 전기차에 플러그를 꽂았다.	결과	전기차가 충전되었다.	전기차가 방전되었다.	1
24	딸이 알레르기 발작을 일으켰다.	결과	딸을 응급실에 데려갔다.	딸을 재웠다.	1
25	철제 틴케이스에 물건을 담았다.	결과	케이스가 흔들릴 때마다 요란한 소리가 난다.	캐이스 안에 물건을 마음껏 담을 수 있다.	1
26	나는 마트에서 할인 쿠폰을 사용했다.	결과	물건을 판매가보다 싼 값에 구입했다.	물건을 판매가보다 비싼 값에 구입했다.	1
27	여자가 옷장을 열었다.	결과	여자가 신발을 꺼냈다.	여자가 코트를 꺼냈다.	2
28	아기가 잠들었다.	원인	아빠가 아이를 안고 토닥거렸다.	아빠가 아이에게 밥을 먹였다.	1
29	초밥에서 매운 맛이 심하게 났다.	원인	초밥에 와사비가 많이 들어갔다.	초밥에 와사비가 적게 들어갔다.	1
30	ATM에서 현금 인출 버튼을 눌렀다.	결과	투입구에서 지폐가 나왔다.	지폐를 투입구에 넣었다.	1
31	자전거 바퀴가 터졌다.	결과	자전거 바퀴에 공기를 넣었다.	자전거 바퀴를 교체했다.	2
32	조개가 입을 탁 벌렸다.	원인	조개를 석쇠에 구웠다.	조개를 물에서 꺼냈다.	1
33	도마에서 생선을 손질했다.	결과	도마에서 오이 냄새가 난다.	도마에서 생선 냄새가 난다.	2
34	하이힐을 신었다.	결과	키가 작아졌다.	키가 커졌다.	2
35	팔에 피가 난다.	원인	고양이가 할퀴었다.	파리가 팔에 앉았다.	1
36	아이들이 한복을 입었다.	원인	오늘은 설날이다.	오늘은 아이의 생일이다.	1
37	여자는 심호흡을 했다.	결과	여자가 긴장했다.	여자의 긴장이 풀렸다.	2
38	하늘에 먹구름이 끼었다.	결과	여자는 양산을 펼쳤다.	여자는 집에 우산을 가지러 갔다.	2
39	선호의 바이올린 연주 실력이 늘었다.	원인	선호가 바이올린 연습을 하지 않았다.	선호가 바이올린 연습을 열심히 했다.	2
40	스파게티 면, 기름, 그리고 마늘을 같이 볶았다.	결과	알리오올리오가 완성되었다.	로제파스타가 완성되었다.	1
41	녹은 아이스팩을 냉동고에 넣었다.	결과	아이스팩이 미지근해졌다.	아이스팩이 얼었다.	2
42	여성이 치실을 사용했다.	원인	여성은 이를 치료하고자 한다.	여성의 이에 음식물이 꼈다.	2
43	한 남성이 유명해졌다.	결과	남성의 인스타그램 팔로워 수가 늘어났다.	남성의 인스타그램 팔로워 수가 줄어들었다.	1
44	주전자에 담긴 물이 끓기 시작했다.	결과	주전자가 차가워졌다.	주전자에서 수증기가 나온다.	2
45	손톱을 깎았다.	원인	손톱이 길어졌다.	손톱이 짧아졌다.	1
46	여드름이 터졌다.	원인	여드름에  힘을 가했다.	여드름 위에 연고를 발랐다.	1
47	작두콩을 끓는 물에 넣었다.	결과	작두콩이 우려져, 작두콩 차가 되었다.	작두콩이 딱딱하게 굳었다.	1
48	그는 감옥에 갔다.	원인	그는 착한일을 많이 했다.	그는 범죄를 저질렀다.	2
49	키친타올로 가스레인지 주변을 닦는다.	원인	가스레인지 주변에 기름이 많이 튀었다.	가스레인지에 물을 올렸다.	1
50	소녀의 아버지가 소녀를 훈육한다.	원인	소녀가 소녀의 아버지에게 존댓말을 했다.	소녀가 소녀의 아버지에게 거짓말을 했다.	2
51	버스를 놓쳤다.	결과	약속장소에 늦게 도착했다.	교통비가 모자라다.	1
52	당사자 둘이 분쟁 합의를 보았다.	원인	그들은 법정에서 담판을 짓고자 한다.	그들은 법정에서 논쟁하길 원치 않는다.	2
53	유선 전화기 플러그를 뽑았다.	결과	전화가 걸리지 않는다.	전화가 걸린다.	1
54	여성은 발목에 염증이 생겼다.	결과	여성은 소염제를 먹었다.	여성은 뛰다가 발목을 접질렀다.	1
55	안전요원이 호루라기를 불기 시작했다.	원인	사람들이 위험 구역으로 접근했다.	사람들이 식사를 한다.	1
56	고추를 곱게 갈았다.	결과	고춧가루가 되었다.	후춧가루가 되었다.	1
57	늦잠을 잤다.	원인	알람 소리를 듣지 못했다.	일찍 잠자리에 들었다.	1
58	아이가 트램펄린에 착륙했다.	결과	아이가 공중으로 다시 솟아올랐다.	아이의 머리에서 피가 났다.	1
59	남자는 자전거를 도둑맞았다.	원인	남자는 자전거를 집 안에 보관했다.	남자는 자전거에 자물쇠를 채우지 않았다.	2
60	요리사는 그릇에 계란을 쳤다.	결과	계란 껍질이 갈라졌다.	계란이 썩었다.	1
61	귀에서 피가 났다.	원인	귀에 염증이 생겼다.	귀에 물이 들어갔다.	1
62	여자가 아이를 데리고 소아과에 갔다.	결과	여자가 아프다.	아이가 아프다.	2
63	여성이 강아지와 함께 산책하고 있다.	원인	여성은 식사를 한다.	여성은 반려동물을 키운다.	2
64	나는 남자를 경찰에 신고했다.	원인	나는 그 남자가 물건을 훔치는 것을 보았다.	나는 그 남자가 누군지 모른다.	1
65	우유에 코코아 가루를 타고 섞었다.	결과	코코아 가루가 우유와 분리되었다.	코코아가 만들어졌다.	2
66	소년은 복숭아를 베어물었다.	결과	복숭아가 단단해진다.	복숭아의 즙이 터져나온다.	2
67	모기향을 피웠다.	원인	방에서 모기를 발견했다. 	밖에 나가려고 한다.	1
68	여자는 주말마다 교회에 갔다.	원인	여자는 기독교 신자였다.	여자는 불교 신자였다.	1
69	올림픽을 보는 사람들이 환호한다.	원인	국가대표 선수가 금메달을 획득했다.	국가대표 선수가 부상을 입었다.	1
70	수면양말을 신었다.	원인	발이 시렵다.	손이 시렵다.	1
71	남자가 콩고기를 먹었다.	원인	남자가 채식주의를 하기로 마음 먹었다.	남자가 육식소비를 하기로 마음 먹었다.	1
72	라디오의 볼륨을 줄였다.	원인	라디오에서 소리가 나오지 않는다.	라디오에서 소리가 크게 나온다.	2
73	화장실 벽에 곰팡이가 생겼다.	결과	락스를 뿌렸다.	물을 뿌렸다.	1
74	지갑에 현금이 없다.	결과	백화점에 간다.	은행에 간다.	2
75	남자가 직원에게 병따개를 달라고 했다.	원인	남자는 맥주병의 뚜껑을 따려고 한다.	남자는 콜라 캔을 따려고 한다.	1
76	봤던 영화를 다시 봤다.	원인	영화관에서 팝콘을 먹었다.	그 영화가 재미있었다.	2
77	양파가 투명해졌다.	원인	양파를 볶았다.	양파를 수확했다.	1
78	소방관들이 급하게 출동했다.	원인	절도 사건이 발생했다.	산불이 발생했다.	2
79	남자는 기차역에 일찍 도착했다.	결과	남자는 기차를 놓쳤다.	남자는 기차를 탔다.	2
80	남성은 종이에 손을 베였다.	결과	남성은 종이를 잘랐다.	남성의 손에서 피가 난다.	2
81	온 몸에서 땀이 났다.	원인	차가운 목욕탕에 들어갔다.	뜨거운 목욕탕에 들어갔다.	2
82	전깃줄이 끊어졌다.	결과	전기가 끊겼다.	전기 공급이 원활하게 이루어졌다.	1
83	한 남성이 기절했다.	원인	남성은 낮잠을 잤다.	남성은 마라톤을 완주했다.	2
84	남성이 맨손으로 염산을 만졌다.	결과	남성의 손이 손상을 입었다.	남성의 손이 소독되었다.	1
85	주말이 기대된다.	원인	주말에 삼촌 장례식에 간다.	주말에 친구 결혼식에 간다.	2
86	가방에 커피가 묻었다.	원인	커피를 쏟았다.	가방을 샀다.	1
87	불법 주차가 적발되었다.	결과	과태료를 냈다.	주차장이 세워졌다.	1
88	가게 조명이 모두 꺼졌다.	원인	가게 영업 시간이 되었다.	가게 영업 시간이 종료되었다.	2
89	신호등이 빨간 불이다.	결과	도로에 차들이 쌩쌩 달린다.	도로의 차들이 멈추었다.	2
90	저녁 식사를 요리하기가 귀찮다.	결과	밥을 안치고 국을 끓였다.	음식을 배달시켰다.	2
91	여성은 휴가를 사용했다.	원인	여성은 친구와 여행을 가기로 했다.	여성은 처리해야 할 일이 많다.	1
92	학생은 반성문을 썼다.	원인	학생은 학급 규칙을 어겼다.	학생은 친구들과 사이가 좋다.	1
93	연필로 글씨를 썼다.	결과	연필심이 닳았다.	연필심이 늘어났다.	1
94	초인종 소리가 울렸다.	원인	문을 열어 누가 왔는지 확인한다.	누군가 초인종을 눌렀다.	2
95	여자의 손에 물집이 잡혔다.	원인	여자가 메시지를 입력했다.	여자가 밧줄을 올랐다.	2
96	여자가 비명을 지르며 잠에서 깼다.	원인	여자는 오늘 회사에 가지 않는다.	여자가 악몽을 꾸었다.	2
97	노트북을 바닥에 떨어뜨렸다.	결과	노트북 파우치를 구매했다.	노트북 화면에 금이 갔다.	2
98	물이 끓고 있다.	결과	물의 온도는 50도보다 낮다.	물의 온도는 50도보다 높다.	2
99	널뛰기를 뛰었다.	결과	숨이 찼다.	숨을 멈췄다.	2
100	축구대표팀은 결승전에서 패했다.	원인	선수들의 컨디션이 좋았다.	선수들의 컨디션이 좋지 않았다.	2
101	모기향을 피웠다.	원인	바닥에 기어다니는 바퀴벌레를 발견했다.	날아다니는 모기를 발견했다.	2
102	욕조에 담겨 있던 물이 배수구로 내려간다.	원인	배수구에 물마개를 끼웠다.	배수구의 물마개를 뽑았다.	2
103	자연사 박물관에 갔다.	결과	기념품을 샀다.	핸드폰을 바꿨다.	1
104	불법 이민자들이 잡혔다.	결과	그들은 일자리를 구했다.	그들은 추방당했다.	2
105	거리에 쓰레기가 나뒹군다.	원인	사람들이 거리에 쓰레기를 함부로 버렸다.	환경 미화원이 거리의 쓰레기를 모두 주웠다.	1
106	남편이 차를 끌고 마트로 갔다.	원인	마트가 집 바로 앞에 있다.	마트가 집에서 멀리 있다.	2
107	아랍인 친구를 사귀었다.	결과	스페인어를 배웠다.	아랍어를 배웠다.	2
108	볶음밥에 치즈를 올려 전자레인지에 돌렸다.	결과	치즈가 녹았다.	치즈가 굳었다.	1
109	집에서 음식을 만들어서 먹었다.	결과	설거지를 했다.	배가 고팠다.	1
110	여성이 유리에 세정제를 뿌린다.	원인	유리가 더럽다.	유리가 깨끗하다.	1
111	기상 이변이 일어났다.	원인	화석연료를 더이상 사용하지 않는다.	지구온난화가 심각하게 진행되었다.	2
112	찹쌀가루를 반죽해 익혔다.	결과	떡이 만들어졌다.	빵이 만들어졌다.	1
113	포크레인을 가져왔다.	원인	많은 양의 흙에 물을 주려고 한다.	많은 양의 흙을 파서 옮기려고 한다.	2
114	아이는 바다에 갔다.	결과	아이는 숙제를 했다.	아이는 수영을 했다.	2
115	유튜브에 올릴 영상 편집을 완료했다.	결과	유튜브에 영상을 업로드 했다.	유튜브에서 음악을 다운로드 받았다.	1
116	올림픽에서 은메달을 획득했다.	원인	올림픽에서 3위를 했다.	올림픽에서 2위를 했다.	2
117	타고 있던 배가 가라앉았다.	원인	암초에 부딪혔다.	배가 선착장에 도착했다.	1
118	여성은 음식을 주문했다.	원인	여성은 배가 아팠다.	여성은 배가 고팠다.	2
119	남성이 사건을 과장해서 이야기한다.	원인	남성은 부끄러워하고 있다.	남성은 관심을 받고 싶다.	2
120	차가 물 웅덩이 위를 지나갔다.	결과	물이 증발되었다.	물이 튀었다.	2
121	저체온증에 걸렸다.	결과	더운 곳에서 에어컨 없이 가만히 있었다.	추운 곳에서 에어컨 없이 가만히 있었다.	2
122	택시가 집 앞에 멈춰섰다.	원인	나는 콜택시를 불렀다.	나는 배달 주문을 했다.	1
123	칠판에 글자를 잘못 썼다.	결과	분필로 글자를 쓴다.	분필 지우개로 글자를 지운다.	2
124	강아지가 산책을 나갔다.	결과	강아지가 들꽃 냄새를 맡았다.	강아지가 잠을 잤다.	1
125	우편함에 우편이 잔뜩 쌓여 있다.	원인	나에게 편지를 보낸 사람이 없다.	최근에 우편함을 확인하지 않았다.	2
126	더운 여름날, 비가 내렸다.	결과	주변이 시원해졌다.	주변이 뜨거워졌다.	1
127	조화에 물을 주지 않았다.	결과	조화는 썩었다.	조화의 상태는 변화가 없다.	2
128	집에 불이 났다.	원인	세면대 물을 틀어둔 채로 잊어버렸다.	가스 불을 켜둔 채로 잊어버렸다.	2
129	기온이 매우 높다.	결과	얼음이 더 빨리 녹는다.	얼음이 더 천천히 녹는다.	1
130	아이들이 집에서 뛰어다닌다.	결과	아랫집에서 아이들이 뛰는 소리가 들린다.	앞집에서 아이들이 뛰는 소리가 들린다.	1
131	드럼채가 부러졌다.	결과	기타를 칠 수 없다.	드럼을 칠 수 없다.	2
132	주말에 비가 왔다.	결과	주말 약속을 취소했다.	주말에 출근했다.	1
133	여성이 지사제를 먹었다.	원인	여성은 설사때문에 고통받고 있다.	여성은 변비때문에 고통받고 있다.	1
134	몸에 바디크림을 발랐다. 	결과	피부가 건조해졌다.	피부가 촉촉해졌다.	2
135	치즈가 녹았다.	원인	치즈에 열을 가했다.	치즈를 냉동실에 넣었다.	1
136	선크림을 발랐다.	원인	자외선이 강하다.	비가 온다.	1
137	배달 어플로 커피를 시켰다.	결과	배달 온 커피를 마셨다.	커피를 사러 밖으로 나갔다.	1
138	강아지가 거실에 오줌을 쌌다.	결과	걸레로 바닥을 닦는다.	청소기로 바닥을 민다.	1
139	빗물 웅덩이를 밟았다.	결과	우산이 축축해졌다.	신발이 축축해졌다.	2
140	지수는 길을 걷다가 넘어졌다.	원인	지수는 헬멧을 쓰고 있다.	발 밑에 걸림돌이 있었다.	2
141	여자는 일을 하고 있다.	원인	여자는 회사에서 나왔다.	여자는 회사에 출근했다.	2
142	지하철이 한 역에 계속 정차해 있다.	원인	지하철이 정상 운행 중이다.	지하철은 배차 간격을 조정 중이다.	2
143	시험에서 낙제했다.	원인	시험 공부를 열심히 하지 않았다.	시험 공부를 열심히 했다.	1
144	사탕을 씹어 먹었다.	결과	사탕의 크기가 커졌다.	사탕이 작게 조각났다.	2
145	돗자리가 날아갔다.	원인	거센 바람이 불었다.	세찬 비가 내렸다.	1
146	TV를 음소거 모드로 전환했다.	원인	TV 리모컨을 잃어버렸다.	TV를 보던 중 전화가 걸려왔다.	2
147	다리에서 트럭과 오토바이가 충돌했다.	결과	다리가 무너졌다.	오토바이를 탄 사람이 크게 다쳤다.	2
148	여자가 가지고 있던 옷이 커졌다.	원인	여자가 살을 뺐다.	여자가 살을 찌웠다.	1
149	자전거를 오래 탔다.	결과	허벅지에 근육통이 생겼다.	헬멧을 착용했다.	1
150	공기 오염이 심해졌다.	원인	공장들이 더 많아졌다.	공장들이 문을 닫았다.	1
151	복숭아를 선물받았다.	결과	복숭아잼을 만들었다.	사과잼을 만들었다.	1
152	쌓아둔 짐이 무너졌다.	원인	가장 아래에 있는 박스가 부서졌다.	가장 아래에 있는 박스를 교체했다.	1
153	그녀는 개를 무서워한다.	원인	개의 주인을 찾아준 적이 있다.	개에게 물린 적이 있다.	2
154	흑백 프린터로 그림을 인쇄했다.	결과	붉은색이 그대로 인쇄되었다.	붉은색이 그대로 인쇄되지 않았다.	2
155	고기가 노릇노릇하게 익었다.	원인	요리사가 고기를 냉동했다.	요리사가 고기를 구웠다.	2
156	남자는 식사 중에 계속 물을 마셨다.	원인	음식이 차가웠다.	음식이 매웠다.	2
157	여자가 매일밤 중국어 드라마를 자막 없이 보았다.	결과	여자의 중국어 실력이 좋아졌다.	여자의 중국어 실력이 퇴화했다.	1
158	너구리가 쓰레기통을 뒤졌다.	결과	쓰레기통 뚜껑이 열려 있었다.	쓰레기통 뚜껑이 닫혀 있었다.	1
159	사랑니가 자랐다.	결과	치과에 방문했다.	정형외과에 방문했다.	1
160	영화관의 불이 꺼졌다.	결과	사람들이 모두 일어나 나간다.	사람들이 조용히 영화를 시청한다.	2
161	하늘에 무지개가 떴다.	원인	비가 그쳤다.	비가 멈추지 않았다.	1
162	매니큐어를 바른 손톱을 아세톤으로 닦아냈다.	결과	매니큐어가 덧발라진다.	매니큐어가 지워졌다.	2
163	어제 산불이 났다. 	결과	소방차가 출동했다. 	숲을 즐기며 등산했다.	1
164	감기에 걸렸다.	결과	가위를 샀다.	외출을 하지 못했다.	2
165	남성이 약국에서 소화제를 구입했다.	원인	남성은 금식중이다.	남성은 급체했다.	2
166	오늘 등산모임이 잡혀있다.	결과	등산복을 입고 준비한다.	정장을 입고 준비한다.	1
167	남자는 합창단에 들어갔다.	원인	남자는 노래에 소질이 있다.	남자는 춤에 소질이 있다.	1
168	성냥을 사포에 비볐다.	결과	성냥에 불꽃이 일었다.	불꽃이 꺼졌다.	1
169	여자는 일자리를 잃었다.	원인	여자의 회사에 부도가 났다.	여자의 회사가 큰 흑자를 냈다.	1
170	손이 매우 건조하다.	결과	손을 씻는다.	핸드크림을 바른다.	2
171	여자의 얼굴에 기름이 올라왔다.	결과	기름종이로 기름을 제거했다.	여자의 얼굴 모공이 커졌다.	1
172	휴대폰을 새로 샀다.	원인	전에 쓰던 휴대폰이 고장났다.	휴대폰에 있던 연락처를 옮긴다.	1
173	아이가 울기 시작했다.	결과	부모가 아이를 씻겼다.	부모가 아이에게 장난감을 건넸다.	2
174	영화관에 사람들이 붐빈다.	원인	기대작이 개봉했다.	상영하고 있는 영화가 별로 없다.	1
175	여자는 초대장을 보냈다.	원인	여자는 생일 파티를 연다.	여자는 파티에 초대되었다.	1
176	여자는 다낭에 가게 되었다.	결과	여자는 다낭 여행 일정을 짰다.	여자는 방콕 여행 일정을 짰다.	1
177	팔에 상처가 났다.	결과	팔에 파스를 발랐다.	팔에 연고를 발랐다.	2
178	대기가 뿌옇다.	원인	날이 흐리다.	무지개가 떴다,	1
179	소년이 셔츠 단추를 잠그지 못하고 있다.	결과	소년이 셔츠를 찢어 버렸다.	소년이 어머니에게 도움을 요청했다.	2
180	건조기에 빨래를 넣고 작동시켰다.	결과	빨래가 축축해졌다.	빨래가 말랐다.	2
181	중국집에서 음식을 시켰다.	결과	짬뽕이 배달왔다.	파스타가 배달왔다.	1
182	파티에서 술을 많이 마셨다.	결과	다음날 콧물이 났다.	다음날 두통이 있다.	2
183	집의 전기가 차단되었다.	결과	회로 차단기를 재설정했다.	스위치를 눌러 불을 켰다.	1
184	손에 기름이 튀었다.	결과	손을 뜨거운 기름에 넣는다.	손을 찬 물에 식힌다.	2
185	양말에 구멍이 났다.	결과	양말을 갈아 신었다.	양말을 빨았다.	1
186	고양이가 가출했다.	원인	문단속을 철저히 했다.	문단속을 철저히 하지 못했다.	2
187	자동차 브레이크가 고장났다.	결과	자동차의 속도를 높일 수 없다.	자동차의 속도를 줄일 수 없다.	2
188	여성이 길 한복판에서 정신을 잃었다.	결과	주위 사람들이 119에 구급요청 전화를 걸었다.	주위 사람들이 113에 간첩 신고 전화를 걸었다.	1
189	쌀로 누룩을 만들었다.	원인	막걸리를 만들려고 한다.	쌀을 찌려고 한다.	1
190	전등에 나방이 모여들었다.	원인	전등에 불을 껐다.	전등에 불을 켰다.	2
191	머리가 아프다.	결과	약을 먹는다.	깁스를 한다.	1
192	식물이 말라서 죽었다	원인	식물에 물을 주지 않았다	식물로 집안을 꾸몄다	1
193	여자가 손소독제를 손에 뿌렸다.	결과	손이 소독되었다.	손이 더러워졌다.	1
194	쓰레기가 바닥에 흩어졌다.	원인	쓰레기통이 바람에 넘어졌다.	쓰레기통에 쓰레기를 넣었다.	1
195	아침을 급하게 먹었다.	원인	늦잠을 잤다.	알람이 울렸다.	1
196	무릎에 멍이 들었다.	원인	무릎을 책상에 부딪혔다.	무릎에 약을 발랐다.	1
197	뜨거운 호박죽에 얼음을 넣었다.	결과	얼음이 녹아, 호박죽이 밍밍해졌다.	얼음이 녹아, 호박죽이 짜게 변했다.	1
198	화장이 번졌다.	원인	엉킨 머리를 빗었다.	화장이 되어있는 눈을 세게 비볐다.	2
199	남성이 장화를 신고 외출했다.	원인	비가 많이 온다.	바람이 많이 분다.	1
200	여자가 입원을 했다.	원인	여자가 사고를 당했다.	여자가 밥을 먹었다.	1
201	크리스마스에 파티를 열었다.	결과	크리스마스에 교회를 갔다.	파티에 많은 사람이 모였다.	2
202	아이가 책에 형광펜을 친다.	원인	아이가 책에서 중요한 문구를 발견했다.	아이가 책을 버리려고 한다.	1
203	남자는 경찰에 체포되었다.	원인	남자는 음주운전을 했다.	남자는 지갑을 주워 경찰서에 가져다주었다.	1
204	장갑을 꿰맸다.	원인	장갑이 튼튼하다.	장갑에 구멍이 났다.	2
205	여성은 해외로 여행을 갔다.	원인	여성은 선탠을 하고 싶었다.	여성은 다른 나라의 문화를 배우고 싶었다.	2
206	종이컵을 물에 넣어두었다.	결과	컵이 쉽게 찢어진다.	컵이 단단해진다.	1
207	오이를 된장에 무쳤다.	결과	오이 냉국이 완성되었다.	오이 무침이 완성되었다.	2
208	아이가 생명을 위협하는 병에 걸렸다.	원인	아이가 백신을 맞지 않았다.	아이가 백신을 맞았다.	1
209	껌이 신발 바닥에 붙었다.	원인	껌을 밟았다.	껌을 씹었다.	1
210	스피커가 터졌다.	결과	소리가 나오지 않는다.	소리가 잘 나온다.	1
211	남자가 청심환을 먹고 긴장을 풀었다.	원인	남자가 청심환을 주제로 한 발표자료를 만들었다.	남자는 중요한 발표를 앞두고 있었다.	2
212	비둘기들이 모여 있다.	원인	한 남성이 먹이를 주고 있다.	한 남성이 청소를 하고 있다.	1
213	어항에 물고기밥을 뿌렸다.	결과	물고기들이 배를 뒤집었다.	물고기들이 밥을 먹으러 헤엄쳐 올라왔다.	2
214	노트에 물을 쏟았다.	결과	글자가 모두 번졌다.	펜 잉크가 닳았다.	1
215	세탁한 옷을 건조대에 널었다.	결과	빨래가 다 말랐다.	빨래가 다 젖었다.	1
216	로켓이 하늘 위로 날아 올랐다.	원인	소녀가 로켓을 발사했다.	소녀가 로켓을 디자인 했다.	1
217	머리를 잘랐다.	원인	머리카락에 껌이 붙었다.	머리띠를 선물받았다.	1
218	택배가 도착했다.	원인	인터넷으로 우유를 주문했다.	백화점에 갔다.	1
219	쿠키를 구웠다.	결과	이웃들에게 쿠키를 나눠줬다.	제과점에서 쿠키를 샀다.	1
220	여자가 의자에 앉았다.	원인	여자는 다리가 아팠다.	여자는 팔이 아팠다.	1
221	박장대소를 했다.	원인	슬픈 소설을 읽었다.	재미있는 유머글을 보았다.	2
222	남자는 운동화를 살 수 없다.	원인	운동화가 품절되었다.	운동화가 새로 출시되었다.	1
223	부채를 부쳤다.	결과	바람이 그쳤다.	바람이 불었다.	2
224	책을 덮었다.	원인	책을 다 읽었다.	책을 책꽂이에 꽂았다.	1
225	자동차의 라이트를 켰다.	원인	날이 어두워 앞이 잘 보이지 않는다.	대낮에 해가 쨍쨍하다.	1
226	발에 아령을 떨어뜨렸다.	결과	발에 멍이 들었다.	발에 물집이 잡혔다.	1
227	밀물 시간이 되었다.	결과	바닷물이 차오른다.	바닷물이 빠져나간다.	1
228	남자가 빵을 버렸다.	원인	빵에 곰팡이가 슬었다.	빵이 신선했다.	1
229	두 장의 골판지를 본드로 붙였다.	결과	골판지가 너덜너덜해진다.	골판지가 서로 떼어지지 않는다.	2
230	카드를 섞었다.	결과	카드가 순서대로 정렬되었다.	카드가 뒤죽박죽 되었다.	2
231	머리카락의 거품을 씻어냈다.	원인	머리카락에 샴푸칠을 했다.	머리카락에 껌이 붙었다.	1
232	여자는 다림질을 했다.	결과	셔츠가 구겨졌다.	셔츠가 반듯하게 펴졌다.	2
233	끓는 물에 파스타 면을 넣었다.	결과	파스타 면이 딱딱하게 굳었다.	파스타 면이 퍼졌다.	2
234	그에게 무혐의 판결이 내려졌다.	결과	그는 벌금형을 선고받았다.	그는 유치장에서 풀려났다.	2
235	갑자기 소나기가 내렸다.	결과	여자가 황급하게 양산을 폈다.	여자가 황급하게 우산을 폈다.	2
236	오렌지를 착즙기에 넣었다.	결과	오렌지가 딱딱하게 굳었다.	오렌지 쥬스가 완성되었다.	2
237	눈에 모래가 들어갔다.	결과	눈에서 눈물이 났다.	눈이 부셨다.	1
238	여성이 진통을 겪고 있다.	원인	여성은 출산이 임박했다.	여성은 산부인과 의사이다.	1
239	시리얼이 불었다.	원인	시리얼을 우유에 오래 넣어두었다.	시리얼을 에어프라이기에 돌렸다.	1
240	영화관에서 영화를 보는데 시야가 가린다.	원인	내 앞에 키가 큰 사람이 앉아있다.	내 뒤에서 커플이 속삭이고 있다.	1
241	남자는 샤워를 했다.	원인	남자는 땀을 많이 흘렸다.	남자는 몸의 물기를 닦았다.	1
242	바닷물을 받아 햇빛 아래에 두었다.	결과	소금이 완성되었다.	설탕이 완성되었다.	1
243	남자가 브레이크를 밟았다.	결과	차의 속력이 빨라졌다.	차의 속력이 느려졌다.	2
244	참깨를 볶은 후, 힘을 가해 짰다.	결과	참기름이 완성되었다.	올리브유가 완성되었다.	1
245	경찰이 남성에게 수갑을 채웠다.	원인	남성은 범인이다.	남성은 무고한 시민이다.	1
246	공장에서 검은 연기가 나온다.	결과	공기가 탁해졌다.	공기가 맑아졌다.	1
247	여자는 공직에 출마하기로 결정했다.	결과	캠페인 관리자를 고용했다.	그녀가 법정에서 증언했다.	1
248	여자는 사격장에 갔다.	결과	여자는 총을 쐈다.	여자는 화살을 쐈다.	1
249	펜이 나오지 않는다.	원인	펜의 잉크가 다 닳았다.	새로 펜을 구입했다.	1
250	여자는 겨울을 좋아한다.	원인	여자는 스키를 잘 탄다.	여자는 수영을 잘 한다.	1
251	꽃을 말렸다.	결과	드라이플라워가 만들어졌다.	꽃이 싱싱해졌다.	2
252	하루종일 비가 내렸다.	결과	땅이 젖었다.	가뭄이 왔다.	1
